Experiment name: EXP_0_1
Epoch [188/400], Average Loss: 4.5331e-04, Test Loss: 4.4349e-04, Current_LR:0.0003
Epoch [189/400], Average Loss: 4.5542e-04, Test Loss: 4.4891e-04, Current_LR:0.0003
Epoch [190/400], Average Loss: 4.5198e-04, Test Loss: 4.4303e-04, Current_LR:0.0003
Epoch [191/400], Average Loss: 4.5573e-04, Test Loss: 4.4124e-04, Current_LR:0.0003
Epoch [192/400], Average Loss: 4.4922e-04, Test Loss: 4.3982e-04, Current_LR:0.0003
Epoch [193/400], Average Loss: 4.5343e-04, Test Loss: 4.7626e-04, Current_LR:0.0003
Epoch [194/400], Average Loss: 4.5312e-04, Test Loss: 4.5670e-04, Current_LR:0.0003
Epoch [195/400], Average Loss: 4.5725e-04, Test Loss: 4.4862e-04, Current_LR:0.0003
Epoch [196/400], Average Loss: 4.5486e-04, Test Loss: 4.4689e-04, Current_LR:0.0003
Epoch [197/400], Average Loss: 4.4996e-04, Test Loss: 4.4182e-04, Current_LR:0.0003
Epoch [198/400], Average Loss: 4.5381e-04, Test Loss: 4.5250e-04, Current_LR:0.0003
Epoch [199/400], Average Loss: 4.4842e-04, Test Loss: 4.4406e-04, Current_LR:0.0003
Epoch [200/400], Average Loss: 4.5143e-04, Test Loss: 4.6173e-04, Current_LR:0.0003
Epoch [201/400], Average Loss: 4.5157e-04, Test Loss: 4.5005e-04, Current_LR:0.0003
Epoch [202/400], Average Loss: 4.4888e-04, Test Loss: 4.4479e-04, Current_LR:0.0003
Epoch [203/400], Average Loss: 4.4882e-04, Test Loss: 4.6376e-04, Current_LR:0.0002
Epoch [204/400], Average Loss: 4.4683e-04, Test Loss: 4.3943e-04, Current_LR:0.0002
Epoch [205/400], Average Loss: 4.4887e-04, Test Loss: 4.4809e-04, Current_LR:0.0002
Epoch [206/400], Average Loss: 4.5144e-04, Test Loss: 4.6134e-04, Current_LR:0.0002
Epoch [207/400], Average Loss: 4.4645e-04, Test Loss: 4.4231e-04, Current_LR:0.0002
Epoch [208/400], Average Loss: 4.4632e-04, Test Loss: 4.4058e-04, Current_LR:0.0002
Epoch [209/400], Average Loss: 4.4632e-04, Test Loss: 4.3201e-04, Current_LR:0.0002
Epoch [210/400], Average Loss: 4.4611e-04, Test Loss: 4.4028e-04, Current_LR:0.0002
Epoch [211/400], Average Loss: 4.4680e-04, Test Loss: 4.3925e-04, Current_LR:0.0002
Epoch [212/400], Average Loss: 4.4691e-04, Test Loss: 4.4224e-04, Current_LR:0.0002
Epoch [213/400], Average Loss: 4.4570e-04, Test Loss: 4.4513e-04, Current_LR:0.0002
Epoch [214/400], Average Loss: 4.4525e-04, Test Loss: 4.3363e-04, Current_LR:0.0002
Epoch [215/400], Average Loss: 4.4553e-04, Test Loss: 4.3914e-04, Current_LR:0.0002
Epoch [216/400], Average Loss: 4.4087e-04, Test Loss: 4.7225e-04, Current_LR:0.0002
Epoch [217/400], Average Loss: 4.4321e-04, Test Loss: 4.4051e-04, Current_LR:0.0002
Epoch [218/400], Average Loss: 4.4242e-04, Test Loss: 4.5960e-04, Current_LR:0.0002
Epoch [219/400], Average Loss: 4.4450e-04, Test Loss: 4.3774e-04, Current_LR:0.0002
Epoch [220/400], Average Loss: 4.4462e-04, Test Loss: 4.3357e-04, Current_LR:0.0002
Epoch [221/400], Average Loss: 4.3842e-04, Test Loss: 4.5774e-04, Current_LR:0.0002
Epoch [222/400], Average Loss: 4.4295e-04, Test Loss: 4.4584e-04, Current_LR:0.0002
Epoch [223/400], Average Loss: 4.4391e-04, Test Loss: 4.3499e-04, Current_LR:0.0002
Epoch [224/400], Average Loss: 4.4569e-04, Test Loss: 4.3639e-04, Current_LR:0.0002
Epoch [225/400], Average Loss: 4.3939e-04, Test Loss: 4.3799e-04, Current_LR:0.0002
Epoch [226/400], Average Loss: 4.4328e-04, Test Loss: 4.4236e-04, Current_LR:0.0002
Epoch [227/400], Average Loss: 4.3815e-04, Test Loss: 4.4309e-04, Current_LR:0.0002
Epoch [228/400], Average Loss: 4.4110e-04, Test Loss: 4.3362e-04, Current_LR:0.0002
Epoch [229/400], Average Loss: 4.4157e-04, Test Loss: 4.4066e-04, Current_LR:0.0002
Epoch [230/400], Average Loss: 4.3875e-04, Test Loss: 4.3584e-04, Current_LR:0.0002
Epoch [231/400], Average Loss: 4.3995e-04, Test Loss: 4.4304e-04, Current_LR:0.0002
Epoch [232/400], Average Loss: 4.3602e-04, Test Loss: 4.3376e-04, Current_LR:0.0002
Epoch [233/400], Average Loss: 4.3861e-04, Test Loss: 4.4687e-04, Current_LR:0.0002
Epoch [234/400], Average Loss: 4.3811e-04, Test Loss: 4.4251e-04, Current_LR:0.0002
Epoch [235/400], Average Loss: 4.3686e-04, Test Loss: 4.4497e-04, Current_LR:0.0002
